# Based on the Artemis Motorway drive cycle,
# time [s],current [A]
1020,-0.042725
1021,-0.127565
1022,-0.372625
1023,-0.377508
1024,-0.412604
1025,-0.174563
1026,-0.015412
1027,-0.073548
1028,-0.07187
1029,-0.0177
1030,0.000305
1031,0
1032,0
1033,0.003204
1034,0.253452
1035,0.683604
1036,0.87602
1037,0.522164
1038,0.834974
1039,1.074235
1040,1.834745
1041,1.837644
1042,1.540093
1043,0.515602
1044,0.380102
1045,0.92256
1046,0.216831
1047,0.028992
1048,0.995499
1049,0.426642
1050,1.013199
1051,0.840467
1052,0.912642
1053,1.553063
1054,-0.1561
1055,-0.071717
1056,-0.155032
1057,-0.074006
1058,-0.249332
1059,-0.33402
1060,-0.911574
1061,-0.796674
1062,-0.464027
1063,-0.165103
1064,0.712291
1065,1.037766
1066,1.17525
1067,1.617914
1068,1.236591
1069,1.324788
1070,0.78294
1071,0.236973
1072,-0.150301
1073,-0.324407
1074,0.023346
1075,0.201724
1076,0.460822
1077,0.207065
1078,-0.023499
1079,0.201877
1080,-0.160983
1081,-0.025635
1082,0.986191
1083,0.727245
1084,1.076829
1085,1.437095
1086,0.854505
1087,0.269322
1088,-0.310979
1089,-0.67216
1090,-0.39826
1091,-0.361181
1092,-0.254673
1093,-0.131075
1094,-0.141146
1095,0.591135
1096,0.362554
1097,0.597391
1098,0.65568
1099,-0.150912
1100,0.161135
1101,1.149767
1102,1.236591
1103,1.914092
1104,2.096132
1105,2.283818
1106,2.105592
1107,2.249485
1108,1.994812
1109,2.948348
1110,2.709239
1111,1.94873
1112,0.6009
1113,1.498741
1114,0.180056
1115,0.171969
1116,-0.130617
1117,0.577096
1118,0.086824
1119,1.499962
1120,1.029679
1121,2.025483
1122,1.097581
1123,1.582818
1124,1.148699
1125,0.691997
1126,-0.552377
1127,-0.154421
1128,-0.128634
1129,0.155184
1130,1.911345
1131,1.58526
1132,2.036011
1133,2.673838
1134,1.715419
1135,2.342718
1136,2.427863
1137,2.439155
1138,2.05417
1139,2.58381
1140,2.185397
1141,2.736706
1142,2.322271
1143,1.126879
1144,-0.045014
1145,-1.109483
1146,-0.594797
1147,-0.065003
1148,-0.108339
1149,1.429465
1150,1.904479
1151,1.953002
1152,2.079805
1153,2.054017
1154,0.993362
1155,1.545739
1156,2.783551
1157,1.067979
1158,2.212863
1159,1.105058
1160,1.765164
1161,1.708095
1162,2.069429
1163,1.177539
1164,1.177081
1165,1.177844
1166,1.177539
1167,2.023957
1168,2.407568
1169,1.677882
1170,2.132143
1171,1.728695
1172,2.189364
1173,1.336995
1174,1.780423
1175,0.910658
1176,1.336843
1177,1.336538
1178,1.33669
1179,1.78088
1180,1.352255
1181,1.35256
1182,1.798581
1183,1.367666
1184,1.367971
1185,1.815824
1186,1.833829
1187,2.307774
1188,1.432364
1189,2.348516
1190,1.464714
1191,1.925536
1192,1.850614
1193,1.126116
1194,1.481498
1195,1.481041
1196,1.022812
1197,1.464408
1198,1.008316
1199,1.449149
1200,0.99321
1201,0.980087
1202,1.415732
1203,0.965438
1204,1.851682
1205,0.519417
1206,1.383688
1207,1.383688
1208,0.495766
1209,0.910506
1210,0.897078
1211,0.88365
1212,0.870375
1213,0.856947
1214,0.844739
1215,0.831312
1216,1.246204
1217,0.818189
1218,1.23125
1219,1.231556
1220,0.890822
1221,1.220569
1222,1.219959
1223,1.219959
1224,2.42771
1225,2.573434
1226,3.54406
1227,2.746014
1228,3.657588
1229,3.400168
1230,3.99237
1231,3.631952
1232,3.13283
1233,2.796826
1234,2.844129
1235,2.380255
1236,2.914473
1237,1.932555
1238,2.963149
1239,1.971771
1240,1.972381
1241,1.972381
1242,1.973144
1243,2.49012
1244,1.993744
1245,1.993286
1246,1.992981
1247,1.992981
1248,1.993439
1249,-0.267948
1250,-0.482795
1251,-0.083162
1252,1.219806
1253,1.204395
1254,1.187457
1255,1.650874
1256,1.650568
1257,1.650263
1258,1.650568
1259,1.650721
1260,2.133974
1261,1.18761
1262,2.619974
1263,1.204089
1264,2.153353
1265,1.204089
1266,1.187304
1267,2.133669
1268,2.6421
1269,2.687114
1270,2.732738
1271,2.77882
1272,2.824903
1273,2.872969
1274,2.919661
1275,2.968032
1276,1.977417
1277,3.016098
1278,3.065537
1279,2.05951
1280,2.586252
1281,2.608835
1282,2.10193
1283,2.102083
1284,2.10193
1285,1.575189
1286,2.081025
1287,1.556573
1288,2.05951
1289,1.537041
1290,2.039063
1291,1.517967
1292,1.499504
1293,2.517891
1294,0.98558
1295,1.976654
1296,1.462425
1297,1.444724
1298,1.935912
1299,1.426566
1300,1.40795
1301,1.390707
1302,1.372854
1303,1.857023
1304,0.858473
1305,1.320668
1306,1.799039
1307,1.303883
1308,1.286488
1309,2.256504
1310,2.277562
1311,1.799496
1312,2.298009
1313,1.818112
1314,1.818112
1315,2.319829
1316,1.837339
1317,1.836881
1318,2.340276
1319,1.355917
1320,2.340581
1321,1.355306
1322,2.341344
1323,1.857176
1324,1.85687
1325,1.355612
1326,0.842451
1327,1.303731
1328,0.312047
1329,0.27451
1330,2.153353
1331,1.687037
1332,2.173495
1333,1.705501
1334,2.194553
1335,1.236591
1336,1.705196
1337,2.19379
1338,2.710002
1339,1.760739
1340,2.755322
1341,2.298619
1342,2.319829
1343,2.341497
1344,1.85687
1345,2.362707
1346,1.876249
1347,1.876555
1348,2.998703
1349,1.209888
1350,1.892882
1351,2.606851
1352,1.209583
1353,3.329213
1354,1.233845
1355,1.9205
1356,2.638132
1357,1.233997
1358,2.638743
1359,1.233845
1360,1.919585
1361,2.638285
1362,1.234302
1363,1.920043
1364,1.920043
1365,1.920195
1366,1.9205
1367,1.920806
1368,1.209888
1369,1.892424
1370,2.606699
1371,0.50721
1372,2.574044
1373,1.186236
1374,2.574502
1375,1.185931
1376,1.86511
1377,2.575875
1378,1.186084
1379,2.574807
1380,1.891966
1381,1.891814
1382,2.606699
1383,1.209735
1384,2.607462
1385,1.91989
1386,1.920653
1387,2.638895
1388,1.948577
1389,2.775311
1390,1.981079
1391,1.980774
1392,2.708476
1393,2.009003
1394,2.009308
1395,2.009308
1396,2.009918
1397,2.009918
1398,2.009766
1399,2.009155
1400,2.74052
1401,2.038758
1402,1.311513
1403,2.741283
1404,2.038605
1405,2.0383
1406,2.038758
1407,2.038911
1408,2.038758
1409,2.038758
1410,2.038911
1411,2.0383
1412,2.773938
1413,2.06836
1414,2.068513
1415,2.067903
1416,2.806744
1417,2.0972
1418,2.097963
1419,2.947738
1420,1.286946
1421,2.94728
1422,1.286183
1423,2.097658
1424,0.63447
1425,1.311208
1426,0.469215
1427,1.948425
1428,1.233845
1429,1.20943
1430,1.892882
1431,1.186236
1432,1.8645
1433,1.864652
1434,1.162432
1435,1.837644
1436,1.836881
1437,1.836881
1438,1.836728
1439,2.239872
1440,1.852903
1441,2.662394
1442,1.884031
1443,3.421378
1444,2.666209
1445,1.972992
1446,1.254749
1447,1.129015
1448,1.203174
1449,1.079423
1450,1.853361
1451,1.152209
1452,0.343481
1453,0.208286
1454,1.708858
1455,2.49424
1456,1.738613
1457,1.73846
1458,0.959182
1459,-0.19501
1460,0.212558
1461,0.826123
1462,0.160525
1463,-0.244755
1464,-0.601053
1465,-1.844511
1466,-2.10071
1467,-2.101015
1468,-0.877089
1469,0.227665
1470,1.697261
1471,2.815137
1472,2.949416
1473,1.420615
1474,1.969482
1475,2.022126
1476,-0.097505
1477,1.411612
1478,1.508354
1479,-0.097353
1480,1.41207
1481,1.508202
1482,2.627146
1483,2.235142
1484,2.215915
1485,1.617762
1486,1.070878
1487,2.299687
1488,1.77142
1489,2.988632
1490,1.874723
1491,2.51133
1492,1.869688
1493,1.981842
1494,0.610666
1495,1.982147
1496,2.011292
1497,0.630198
1498,2.637369
1499,0.734569
1500,1.330739
1501,2.671397
1502,0.666819
1503,-0.317845
1504,2.692607
1505,1.952087
1506,2.702831
1507,3.512932
1508,1.474327
1509,0.11368
1510,-0.303655
1511,-0.317998
1512,-0.290532
1513,1.816587
1514,2.54078
1515,1.982452
1516,2.636606
1517,1.352865
1518,2.70161
1519,0.773022
1520,2.737621
1521,2.063478
1522,2.183261
1523,2.12192
1524,1.49752
1525,0.128481
1526,0.097505
1527,-0.603952
1528,-0.326543
1529,-0.298772
1530,1.17464
1531,3.761044
1532,3.288472
1533,2.671702
1534,2.736706
1535,2.803388
1536,2.121157
1537,2.903487
1538,2.303807
1539,2.240787
1540,2.365759
1541,2.303197
1542,1.654231
1543,0.229038
1544,0.193942
1545,0.89662
1546,1.524529
1547,0.784771
1548,-0.59266
1549,0.773327
1550,0.666361
1551,1.353017
1552,2.06714
1553,1.376974
1554,1.377127
1555,1.377127
1556,1.376974
1557,0.667124
1558,1.352865
1559,2.067903
1560,2.736706
1561,1.425345
1562,1.424887
1563,0.704662
1564,0.773175
1565,0.053712
1566,-0.652018
1567,-0.298772
1568,0.508888
1569,0.573587
1570,-0.043641
1571,-0.362554
1572,-0.629892
1573,-1.426566
1574,-2.049592
1575,-2.100404
1576,-1.962463
1577,-1.145037
1578,-0.634928
1579,-0.305943
1580,-0.704814
1581,-0.160372
1582,-0.157015
1583,0.704509
1584,1.037461
1585,2.026551
1586,1.529412
1587,2.015412
1588,2.536049
1589,2.748913
1590,2.082399
1591,3.180438
1592,2.374914
1593,3.511559
1594,2.684977
1595,2.815595
1596,3.553368
1597,3.123369
1598,2.627298
1599,3.455406
1600,2.272679
1601,2.919966
1602,1.151904
1603,2.417792
1604,1.874571
1605,2.511635
1606,0.575265
1607,-0.298619
1608,-0.350195
1609,-0.626841
1610,0.166629
1611,1.004044
1612,1.003738
1613,1.797513
1614,1.028611
1615,1.83093
1616,1.458305
1617,1.473106
1618,1.081407
1619,1.488365
1620,1.094224
1621,1.917449
1622,1.121538
1623,1.53521
1624,1.550774
1625,1.566796
1626,1.16289
1627,2.005951
1628,1.191119
1629,1.190967
1630,1.615473
1631,1.631647
1632,1.219196
1633,1.220722
1634,1.561913
1635,1.231556
1636,1.23125
1637,1.661097
1638,0.818647
1639,1.23125
1640,1.660945
1641,0.818647
1642,1.660487
1643,0.819257
1644,0.891279
1645,1.561608
1646,0.891127
1647,1.562066
1648,0.890974
1649,1.220569
1650,1.561303
1651,0.891432
1652,1.219959
1653,1.219806
1654,1.562219
1655,0.891432
1656,1.219654
1657,1.992523
1658,0.819409
1659,2.094453
1660,1.260853
1661,1.694209
1662,1.711299
1663,2.170901
1664,1.76318
1665,2.22858
1666,1.815976
1667,2.746166
1668,2.348363
1669,2.29633
1670,2.898604
1671,2.489509
1672,2.054627
1673,3.038529
1674,2.133211
1675,2.642252
1676,2.19379
1677,2.214389
1678,2.732586
1679,1.780117
1680,2.677043
1681,1.814145
1682,2.314641
1683,1.833371
1684,1.833371
1685,1.833524
1686,2.336309
1687,1.351644
1688,1.833524
1689,1.833829
1690,1.833524
1691,1.334249
1692,1.316854
1693,1.3991
1694,1.286183
1695,1.269703
1696,1.742428
1697,0.768292
1698,1.705806
1699,1.705348
1700,1.705348
1701,1.705196
1702,1.705043
1703,0.357671
1704,1.270924
1705,1.928588
1706,2.230716
1707,2.157778
1708,2.275425
1709,2.202335
1710,2.420996
1711,2.351415
1712,2.17731
1713,2.293889
1714,2.014191
1715,1.722591
1716,1.320668
1717,1.205158
1718,1.185016
1719,1.360952
1720,2.231479
1721,2.15259
1722,1.673762
1723,1.276265
1724,1.357595
1725,2.029603
1726,2.141451
1727,2.155947
1728,2.17319
1729,1.891051
1730,1.795377
1731,1.994202
1732,2.201572
1733,2.621958
1734,2.659648
1735,2.592508
1736,2.831159
1737,2.872663
1738,2.2916
1739,2.409094
1740,2.740673
1741,2.668345
1742,1.645686
1743,1.318074
1744,1.191119
1745,1.573053
1746,2.07187
1747,1.459525
1748,0.83238
1749,0.898451
1750,1.465476
1751,2.05478
1752,2.062715
1753,1.065537
1754,0.941329
1755,1.604028
1756,1.993591
1757,1.405356
1758,0.803388
1759,0.77409
1760,1.712673
1761,2.202487
1762,2.123903
1763,1.353933
1764,1.145647
1765,0.838178
1766,0.243381
1767,0.674907
1768,1.304036
1769,1.576104
1770,1.387655
1771,1.758755
1772,1.860533
1773,2.831159
1774,3.08751
1775,3.060655
1776,3.027695
1777,2.990158
1778,2.741588
1779,2.476997
1780,2.197147
1781,1.904784
1782,1.700618
1783,1.794766
1784,1.892119
1785,1.994049
1786,2.099794
1787,1.90341
1788,1.397269
1789,1.07866
1790,0.953536
1791,1.22118
1792,1.795224
1793,1.300832
1794,1.282673
1795,1.168994
1796,-0.785534
1797,-0.174258
1798,0.885481
1799,0.227359
1800,1.464256
1801,0.826734
1802,2.083009
1803,0.826886
1804,0.808118
1805,1.418631
1806,2.056153
1807,0.181888
1808,2.029297
1809,1.418326
1810,2.70161
1811,2.11017
1812,3.460288
1813,2.221561
1814,2.249027
1815,3.641871
1816,2.365301
1817,2.395514
1818,3.022812
1819,2.480964
1820,3.22179
1821,2.575265
1822,2.607309
1823,3.365682
1824,2.703899
1825,2.736248
1826,2.034333
1827,1.308461
1828,1.282979
1829,1.258259
1830,-0.08423
